Fichier,Niveau,RatioConnContr,NbConnecteurs,NbTotalLemmes
B2_30_CNAVT.txt,B2,0.0,0,269
B2_31_CNAVT.txt,B2,0.0,0,92
B2_32_CNAVT.txt,B2,0.0,0,87
B2_33_CNAVT.txt,B2,0.0,0,212
B2_34_CNAVT.txt,B2,0.0,0,406
B2_35_CNAVT.txt,B2,0.0,0,196
B2_36_CNAVT.txt,B2,0.0,0,143
B2_37_CNAVT.txt,B2,0.0,0,129
B2_38_CNAVT.txt,B2,0.0,0,115
B2_39_CNAVT.txt,B2,0.0,0,107
B2_40_CNAVT.txt,B2,0.0,0,128
B2_41_CNAVT.txt,B2,0.0024183796856106408,2,827
B2_42_CNAVT.txt,B2,0.0010362694300518134,1,965
B2_COMPROF10.txt,B2,0.007263922518159807,3,413
B2_COMPROF11.txt,B2,0.0,0,494
B2_COMPROF12.txt,B2,0.0,0,481
B2_COMPROF13.txt,B2,0.0,0,348
B2_COMPROF14.txt,B2,0.0,0,415
B2_COMPROF15.txt,B2,0.0,0,470
B2_COMPROF16.txt,B2,0.0,0,206
B2_COMPROF17.txt,B2,0.0,0,158
B2_COMPROF18.txt,B2,0.0,0,253
B2_COMPROF19.txt,B2,0.0,0,360
B2_COMPROF20.txt,B2,0.0,0,307
B2_COMPROF21.txt,B2,0.002512562814070352,1,398
B2_COMPROF22.txt,B2,0.0,0,146
B2_COMPROF23.txt,B2,0.0,0,145
B2_COMPROF3.txt,B2,0.0,0,509
B2_COMPROF4.txt,B2,0.0,0,519
B2_COMPROF5.txt,B2,0.0,0,330
B2_COMPROF6.txt,B2,0.0,0,300
B2_COMPROF7.txt,B2,0.0,0,269
B2_COMPROF8.txt,B2,0.002421307506053269,1,413
B2_COMPROF9.txt,B2,0.0,0,349
C1_CNAVT1.txt,C1-C2,0.003278688524590164,1,305
C1_CNAVT2.txt,C1-C2,0.0,0,324
C1_CNAVT3.txt,C1-C2,0.001597444089456869,1,626
C1_CNAVT4.txt,C1-C2,0.004329004329004329,1,231
C1_CNAVT5.txt,C1-C2,0.0045871559633027525,2,436
C1_CNAVT6.txt,C1-C2,0.005263157894736842,2,380
C2_10_TIJD.txt,C1-C2,0.0,0,359
C2_11_TIJD.txt,C1-C2,0.0,0,211
C2_12_TIJD.txt,C1-C2,0.0,0,497
C2_13_TIJD.txt,C1-C2,0.0,0,190
C2_14_TIJD.txt,C1-C2,0.0,0,638
C2_15_TIJD.txt,C1-C2,0.0,0,442
C2_16_TIJD.txt,C1-C2,0.0,0,577
C2_17_TIJD.txt,C1-C2,0.0,0,859
C2_18_TIJD.txt,C1-C2,0.0,0,316
C2_19_TIJD.txt,C1-C2,0.0,0,403
C2_1_TIJD.txt,C1-C2,0.0,0,491
C2_20_TIJD.txt,C1-C2,0.0011587485515643105,1,863
C2_21_TIJD.txt,C1-C2,0.0008257638315441783,1,1211
C2_22_TIJD.txt,C1-C2,0.003194888178913738,1,313
C2_23_TIJD.txt,C1-C2,0.003048780487804878,2,656
C2_24_TIJD.txt,C1-C2,0.000423908435777872,1,2359
C2_25_TIJD.txt,C1-C2,0.0,0,409
C2_26_TIJD.txt,C1-C2,0.0,0,816
C2_27_TIJD.txt,C1-C2,0.0016849199663016006,2,1187
C2_28_TIJD.txt,C1-C2,0.005025125628140704,2,398
C2_29_TIJD.txt,C1-C2,0.0,0,871
C2_2_TIJD.txt,C1-C2,0.0,0,442
C2_30_TIJD.txt,C1-C2,0.0,0,748
C2_3_TIJD.txt,C1-C2,0.0,0,1043
C2_4_TIJD.txt,C1-C2,0.0,0,299
C2_5_TIJD.txt,C1-C2,0.003236245954692557,1,309
C2_6_TIJD.txt,C1-C2,0.0,0,518
C2_7_TIJD.txt,C1-C2,0.0004928536224741252,2,4058
C2_8_TIJD.txt,C1-C2,0.0,0,180
C2_9_TIJD.txt,C1-C2,0.0,0,316
